Concurso;Jogo;Mandante;Visitante;Data;1;X;2;Odds_1;Odds_X;Odds_2;P(1);P(X);P(2);Top1;Top2;Top3;P(Top1);P(Top2);P(Top3)
851;4;PALMEIRAS/SP;INTERNACIONAL/RS;Sábado;1;0;0;1,57;4;5,5;0,5959637;0,233915752;0,170120547;1;0;0;0,5959637;0,233915752;0,170120547
851;5;CEARA/CE;ATLETICO/MG;Sábado;0;0;1;2,25;3,2;3,3;0,419297201;0,294818344;0,285884455;0;0;1;0,419297201;0,294818344;0,285884455
851;6;VITORIA/BA;VILA NOVA/GO;Sábado;1;0;0;2,1;3,1;3,75;0,446943483;0,302768166;0,250288351;1;0;0;0,446943483;0,302768166;0,250288351
851;7;PARANA/PR;CRB/AL;Sábado;1;0;0;2;3,3;3,8;0,468960359;0,284218399;0,246821242;1;0;0;0,468960359;0,284218399;0,246821242
851;8;TREZE/PB;ABC/RN;Domingo;0;1;0;2,32;3,1;2,79;0,387607669;0,290080578;0,322311753;0;0;1;0,387607669;0,322311753;0,290080578
851;9;SAMPAIO CORREA/MA;BOTAFOGO/PB;Sábado;0;1;0;2,84;3;2,67;0,332188713;0,314471982;0,353339305;0;0;1;0,353339305;0,332188713;0,314471982
851;10;CHAPECOENSE/SC;ATHLETICO/PR;Domingo;0;1;0;2,05;3,2;3,8;0,458694832;0,293851377;0,247453791;0;1;0;0,458694832;0,293851377;0,247453791
851;11;BOTAFOGO/RJ;FORTALEZA/CE;Domingo;1;0;0;1,95;3,4;4;0,485194435;0,278273279;0,236532287;1;0;0;0,485194435;0,278273279;0,236532287
851;12;BAHIA/BA;AVAI/SC;Domingo;1;0;0;1,57;3,6;6,5;0,596072038;0,259953639;0,143974323;1;0;0;0,596072038;0,259953639;0,143974323
851;13;CSA/AL;SANTOS/SP;Domingo;0;1;0;4,5;3,4;1,75;0,204291845;0,270386266;0,525321888;0;1;0;0,525321888;0,270386266;0,204291845
851;14;CRUZEIRO/MG;GOIAS/GO;Domingo;1;0;0;1,36;4,2;11;0,690872114;0,22371097;0,085416916;1;0;0;0,690872114;0,22371097;0,085416916
850;1;PALMEIRAS/SP;FORTALEZA/CE;Domingo;1;0;0;1,36;4,5;9;0,688073394;0,20795107;0,103975535;1;0;0;0,688073394;0,20795107;0,103975535
